monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_12mo
89,2,2,1,0,0,7,0,6,2,9,9,5,250
48,2,0,1,0,0,5,0,5,7,4,4,0,250
7,1,1,0,0,0,3,0,0,0,4,7,1,111
10,2,1,0,0,0,1,0,3,1,3,13,0,149
8,3,0,1,0,0,1,0,8,4,4,10,2,163
6,1,0,0,0,0,0,0,3,0,4,7,1,55
21,3,0,0,0,0,0,1,9,4,1,11,1,55
79,5,4,3,1,1,0,0,5,0,4,6,2,177
204,4,0,0,0,0,0,0,1,0,7,10,2,90
238,5,3,2,0,0,10,0,4,5,3,11,5,240
115,6,2,1,0,0,6,3,48,20,5,12,1,155
138,4,0,0,0,0,0,3,21,15,7,6,1,69
250,5,0,0,0,0,0,1,6,8,6,10,2,30
250,4,0,0,0,0,0,1,22,15,4,11,0,88
111,4,1,0,0,0,1,7,15,17,4,11,0,295
149,6,0,1,0,0,1,13,65,63,3,13,1,346
163,5,2,1,0,0,3,0,53,84,2,6,5,110
55,4,0,0,0,0,0,2,14,24,4,8,2,170
55,3,0,0,0,0,0,2,38,87,3,4,1,161
177,6,0,0,0,0,0,13,48,86,3,6,0,55
90,5,0,0,0,0,0,2,8,12,5,7,0,19
240,6,0,0,0,0,0,1,74,87,3,6,1,113
155,6,0,0,0,0,0,2,32,17,4,7,0,90
69,3,0,0,0,0,0,0,28,25,2,8,0,35
30,2,0,0,0,0,0,3,16,20,6,26,0,33
88,6,0,0,0,0,0,1,39,38,5,21,0,134
295,7,0,0,0,0,0,3,79,83,4,10,2,273
346,7,0,0,0,0,0,0,59,85,6,5,2,36
110,7,0,4,0,0,8,0,118,188,8,7,1,20
170,6,0,0,0,0,0,4,128,405,6,6,0,113
161,6,0,0,0,0,0,2,125,277,2,4,1,179
55,5,0,0,0,0,0,3,24,47,5,5,0,362
19,3,0,0,0,0,0,3,29,50,14,10,0,149
113,8,0,0,0,0,0,23,40,86,13,14,0,231
90,6,0,0,0,0,0,11,44,107,11,13,2,73
35,3,0,0,0,0,0,4,20,30,2,8,0,117
33,4,0,0,0,0,0,2,11,19,7,11,0,22
134,10,0,0,0,0,0,0,15,25,10,11,0,86
273,7,0,0,0,0,0,2,12,17,9,10,1,55
36,4,0,0,0,0,0,4,7,55,7,9,0,72
20,2,0,0,0,0,0,2,21,36,10,8,0,144
113,7,0,0,0,0,0,10,26,79,10,7,1,47
179,7,0,0,0,0,0,5,83,142,8,4,1,33
362,8,0,0,0,0,0,14,69,232,11,11,1,75
149,6,0,0,0,0,0,13,26,131,10,8,0,120
231,8,0,0,0,0,0,18,136,304,13,8,0,51
73,5,0,0,0,0,0,10,29,50,12,9,0,33
117,6,0,0,0,0,0,27,69,97,19,9,0,19
22,5,0,0,0,0,0,27,105,253,11,11,0,35
86,8,0,0,0,0,0,41,50,95,15,10,0,69
55,6,0,0,0,0,0,9,30,63,12,7,0,48
72,8,0,0,0,0,0,6,71,100,10,6,1,7
