monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_12mo
22,1,0,0,0,0,0,0,1,3,5,0,4,71
8,1,1,0,1,1,0,0,1,0,0,0,5,63
8,1,0,0,0,0,0,0,0,0,25,12,1,79
11,2,1,0,1,1,2,0,1,1,16,5,0,55
23,2,3,1,2,1,0,0,3,0,4,1,2,28
26,4,7,1,6,2,0,0,12,0,5,1,3,44
37,5,3,1,2,1,2,0,6,1,6,1,3,52
91,7,4,0,4,2,0,0,12,11,7,1,1,72
55,6,3,0,3,1,0,0,7,3,6,2,2,39
66,7,7,0,7,1,0,0,11,8,7,5,3,10
66,8,2,0,2,2,0,0,4,10,12,5,6,30
67,6,1,0,1,1,0,0,2,1,25,3,1,77
71,7,6,1,5,2,10,0,10,28,21,8,3,57
63,6,3,0,3,1,0,0,11,41,21,5,3,5
79,7,5,0,5,1,0,0,12,12,6,1,2,38
55,7,2,0,2,1,0,0,2,0,29,9,3,31
28,6,0,0,0,0,0,0,0,0,31,9,6,9
44,6,1,0,1,1,0,0,2,3,47,18,6,71
52,7,2,1,1,1,2,0,5,11,32,13,6,25
72,9,3,2,1,1,4,0,4,3,38,10,7,11
39,8,0,0,0,0,0,0,1,1,45,12,3,63
10,4,1,0,1,1,0,0,2,1,24,10,3,54
30,3,0,0,0,0,0,0,2,11,25,11,2,54
77,11,1,0,1,1,0,0,5,13,40,13,4,8
57,9,1,0,1,1,0,0,6,16,53,16,2,134
5,1,1,1,0,0,2,0,6,15,87,21,1,62
38,11,1,1,0,0,6,0,14,66,77,20,1,22
31,6,1,0,1,1,0,0,8,23,123,26,2,1
9,3,0,0,0,0,0,0,8,41,66,12,4,32
71,6,1,0,1,1,0,0,13,41,75,22,3,73
25,7,1,1,0,0,2,0,4,14,63,11,1,63
11,1,1,1,0,0,22,0,10,42,65,11,3,105
63,4,1,0,1,1,0,0,11,28,46,10,1,34
54,8,0,0,0,0,0,0,13,31,39,13,3,4
54,11,2,0,2,1,0,0,11,71,62,16,1,7
8,1,0,0,0,0,0,0,7,19,72,23,3,33
134,11,1,0,1,1,0,0,14,23,49,17,2,50
