monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_12mo
4,1,1,1,0,0,12,0,1,6,1,0,2,77
1,1,0,0,0,0,0,0,0,0,0,0,2,81
2,1,0,0,0,0,0,0,0,0,3,0,0,47
7,1,0,0,0,0,0,1,5,16,4,0,1,78
3,1,0,0,0,0,0,0,4,3,2,0,2,100
1,1,0,0,0,0,0,0,10,10,3,2,1,101
45,3,0,0,0,0,0,1,6,9,9,0,2,42
91,3,7,0,3,2,9,1,38,52,2,1,1,105
73,3,7,1,7,2,12,0,29,58,4,0,3,127
100,3,6,1,7,3,10,1,26,48,11,0,0,82
54,3,3,0,4,2,5,1,15,55,2,0,3,87
56,4,7,0,3,1,28,1,18,82,6,1,1,89
77,3,15,1,16,3,32,0,37,122,7,2,2,81
81,4,4,0,6,4,2,0,21,63,6,2,1,61
47,3,3,0,2,1,6,1,13,50,8,3,0,66
78,2,9,0,10,2,14,0,35,145,8,0,3,41
100,3,8,0,8,2,2,0,23,20,5,2,1,79
101,3,18,0,15,3,10,1,44,129,4,0,1,92
42,3,5,2,4,1,4,0,12,6,12,1,1,28
105,3,19,4,14,3,39,0,48,109,8,2,2,30
127,3,10,3,8,3,11,1,37,84,8,2,0,25
82,5,6,0,7,2,11,0,28,89,4,0,1,30
87,3,7,1,4,2,1,1,28,61,6,2,3,64
89,2,16,1,16,2,15,0,69,153,13,0,0,93
81,3,10,0,8,2,7,2,33,82,6,1,0,64
61,2,17,1,19,1,25,1,49,169,9,2,1,93
66,3,13,0,13,2,2,1,43,124,6,2,2,71
41,5,8,1,7,3,8,0,21,21,6,4,1,91
79,6,7,1,7,2,1,1,60,155,6,2,1,146
92,4,0,0,0,0,0,3,17,55,10,1,0,111
28,4,0,0,0,0,0,0,12,37,13,4,2,127
30,4,1,0,1,1,0,0,20,99,9,1,3,140
25,3,0,0,0,0,0,0,25,103,13,2,0,291
30,4,0,0,0,0,0,0,13,62,8,2,2,120
64,5,0,0,0,0,0,1,14,25,7,3,0,165
93,4,1,1,0,0,0,1,22,36,10,2,0,112
64,5,0,0,0,0,0,1,22,23,8,2,1,102
93,4,0,0,0,0,0,0,10,35,8,1,1,78
71,3,0,0,0,0,0,0,19,133,6,1,0,53
91,5,0,0,0,0,0,0,6,8,5,0,0,15
146,4,2,2,0,0,0,1,43,146,9,3,0,19
111,3,1,0,0,0,0,0,8,17,21,2,1,45
127,5,1,1,0,0,0,7,9,12,14,1,2,79
140,4,0,0,0,0,0,1,5,16,10,4,0,43
291,4,0,0,0,0,0,7,27,50,11,1,0,38
120,2,0,0,0,0,0,1,92,108,10,2,1,11
165,4,0,0,0,0,0,6,70,136,12,3,0,37
112,3,0,0,0,0,0,9,22,75,34,4,0,56
102,3,1,0,0,0,1,6,28,98,24,5,1,48
