monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_2mo
57,6,8,1,7,1,24,0,10,17,23,4,1,25
266,16,75,17,55,1,472,0,124,624,140,17,0,42
25,11,12,0,12,1,69,0,22,70,101,7,0,40
42,18,21,0,18,1,99,0,34,96,107,17,0,130
40,13,18,3,19,1,129,0,46,168,133,12,2,102
130,24,39,5,27,1,239,1,79,626,517,31,1,116
102,22,25,7,26,1,162,2,67,277,225,22,1,165
116,26,43,4,34,1,177,0,75,229,239,27,0,121
165,23,27,4,26,2,163,3,86,482,242,18,0,150
121,26,38,10,28,1,178,2,98,391,234,24,1,140
150,21,44,9,32,1,249,3,112,536,227,24,0,88
140,20,28,4,24,1,189,6,70,331,232,23,1,123
88,14,17,3,14,1,114,3,52,241,217,10,0,206
123,26,44,10,33,1,228,8,93,493,350,43,2,97
206,26,43,5,34,1,242,7,104,472,363,26,1,59
97,19,27,1,23,1,145,3,60,235,225,21,0,34
59,19,30,7,22,1,143,5,58,177,228,24,1,73
34,11,18,4,12,1,71,2,40,132,184,22,0,61
73,23,26,12,22,1,145,6,77,327,255,21,0,72
61,16,20,7,15,1,102,14,79,350,285,16,1,79
72,15,24,6,13,1,123,10,49,159,275,22,0,148
79,17,22,2,21,1,115,7,57,237,222,20,0,110
148,17,31,10,20,1,192,11,78,392,267,20,0,102
110,27,39,4,32,1,177,11,87,263,244,31,1,73
102,27,36,3,34,1,201,10,76,316,213,26,0,66
73,24,40,9,29,1,332,9,68,334,210,35,1,47
66,21,32,9,25,2,186,11,55,220,242,28,1,84
47,14,24,5,11,2,245,14,51,269,204,23,0,68
84,27,39,5,36,1,292,12,67,349,226,34,1,41
68,11,23,4,18,1,116,9,50,194,215,25,0,57
41,18,30,4,14,1,134,12,49,210,245,36,0,85
57,19,24,1,22,1,150,9,70,329,249,28,2,67
85,18,30,6,23,1,156,16,108,535,202,17,0,23
67,25,34,5,24,2,200,17,75,311,180,30,1,29
23,14,18,0,12,1,85,11,28,109,188,24,0,38
29,13,38,4,9,1,107,15,35,98,193,30,0,58
38,12,24,9,23,1,135,17,75,288,145,26,0,22
58,20,30,4,24,1,118,33,55,196,166,23,0,4
22,8,21,2,8,1,62,31,16,86,168,23,0,11
4,4,15,1,0,0,14,20,5,33,143,24,1,3
11,4,7,5,6,1,41,19,26,117,143,12,0,4
3,2,11,1,1,1,7,27,26,79,162,21,0,23
