monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_2mo
73,2,1,0,1,1,0,0,1,0,1,1,2,37
68,1,0,0,0,0,0,0,0,0,7,1,1,46
37,1,0,0,0,0,0,0,0,0,13,9,5,0
46,1,0,0,0,0,0,0,0,0,17,6,1,0
0,0,0,0,0,0,0,0,0,0,20,4,1,2
0,0,0,0,0,0,0,0,0,0,17,7,0,0
2,1,0,0,0,0,0,0,0,0,29,13,3,0
0,0,0,0,0,0,0,0,0,0,28,5,5,0
0,0,0,0,0,0,0,0,0,0,23,11,0,0
0,0,0,0,0,0,0,0,0,0,35,17,0,6
0,0,0,0,0,0,0,0,0,0,34,7,1,0
6,2,2,0,2,1,0,0,2,0,47,13,0,0
0,0,0,0,0,0,0,0,0,0,39,14,3,0
0,0,0,0,0,0,0,0,0,0,21,8,1,0
0,0,0,0,0,0,0,0,0,0,53,15,2,1
0,0,0,0,0,0,0,0,0,0,43,15,2,0
1,1,0,0,0,0,0,0,0,0,60,19,1,0
0,0,1,1,0,0,0,0,1,0,48,10,1,0
0,0,0,0,0,0,0,0,0,0,61,26,1,0
0,0,0,0,0,0,0,0,0,0,42,20,0,0
0,0,0,0,0,0,0,1,0,2,83,23,1,3
0,0,0,0,0,0,0,0,0,0,49,14,2,0
3,2,1,0,1,1,0,0,1,0,45,18,0,0
0,0,0,0,0,0,0,1,0,1,33,10,2,0
0,0,0,0,0,0,0,0,0,0,48,20,0,2
0,0,0,0,0,0,0,1,0,1,34,16,3,0
2,2,1,0,1,1,2,0,1,1,53,21,1,0
0,0,0,0,0,0,0,0,0,0,45,22,0,0
0,0,0,0,0,0,0,0,0,0,52,10,0,0
0,0,0,0,0,0,0,0,0,0,36,11,0,0
0,0,0,0,0,0,0,0,0,0,58,16,0,0
