wmc,dit,rfc,noc,cbo,lcom,loc,revision_num,author_num,linesadd_sum,linesadd_max,linesadd_avg,linesdel_sum,linesdel_max,linesdel_avg,codechurn_sum,codechurn_max,codechurn_avg,Size_Ego,Ties_Ego,Pairs_Ego,Density_Ego,nWeakComp_Ego,pWeakComp_Ego,2StepReach_Ego,ReachEffic_Ego,Broker_Ego,nBroker_Ego,EgoBetween_Ego,nEgoBetween_Ego,Size_Ein,Ties_Ein,Pairs_Ein,Density_Ein,nWeakComp_Ein,pWeakComp_Ein,2StepReach_Ein,ReachEffic_Ein,Broker_Ein,nBroker_Ein,EgoBetween_Ein,nEgoBetween_Ein,Size_Eout,Ties_Eout,Pairs_Eout,Density_Eout,nWeakComp_Eout,pWeakComp_Eout,2StepReach_Eout,ReachEffic_Eout,Broker_Eout,nBroker_Eout,EgoBetween_Eout,nEgoBetween_Eout,EffSize,Efficiency,Constraint,Hierarchy,Indirects,Degree,BonPwr,2Step,ARD,Eigenvector,Between,Degree_n,BonPwr_n,2Step_n,ARD_n,Eigenvector_n,Between_n,OutFreeClo,InFreeClo,OutValClo,InValClo,OutRecipClo,InRecipClo,OutdwReach,IndwReach,nOutdwReach,nIndwReach
153.0,1.0,31.0,7.0,309.0,2821.0,703.0,109.0,7.0,3200.0,99.0,40.86985284475753,1171.0,104.0,18.40550302741873,1040.0,759.0,9.68791426500583,219.0,831.0,188467.0,6.229204854832996,0.0,43.61529815715466,13.295150983191856,66.28617194143578,93233.0847486722,0.4256396337632507,1813.161341700261,3.5520927346500097,284.0,846.0,17921.0,8.417364922526676,2.0,62.99504484062916,33.861913255006044,78.05745412830953,84768.3796451445,0.7182292573367333,3753.1364980216686,20.874353559426726,19.0,60.0,189.0,56.80036188635429,6.0,21.17905177975937,22.390286672365896,10.214838052744168,245.99504581753482,0.5506753454607762,48.30260981081659,66.80132018516521,3.5714357950646285,0.7661017166342637,0.7375599943564937,0.7138914300957939,0.5734980968668597,86.0,38235.16832112188,1079.0,401.6599162697171,0.39676404219105554,394889.42413941753,0.13632891854669893,86.32615675728916,0.5587858791057018,0.0033605335951218916,0.37479469083574196,0.33370128891223444,0.0010921750312816313,0.002431904101292775,0.03991870214718292,0.24945399296611304,0.04636359159672947,0.3646821924259268,112.88278881721318,194.03425815730319,0.04737795909219929,0.18822688669780724
178.0,1.0,22.0,7.0,72.0,2749.0,1115.0,111.0,7.0,1134.0,66.0,36.50630994423481,1026.0,101.0,29.89659044762359,765.0,397.0,39.146918870431904,219.0,822.0,45620.0,42.03047644696309,1.0,75.40637193525096,40.27852754914743,95.67920134614123,60606.975274827884,0.8679847929387186,3186.9201125464588,18.66783627948,127.0,196.0,191876.0,7.217296261213459,12.0,79.70649071189848,61.11458279515267,90.62439000203088,48025.05258365397,0.7132816828101803,3896.9813534115433,4.446261214519758,1.0,100.0,321.0,33.62570873123478,4.0,74.32419733066673,27.040554486477465,1.9727181348751817,111.32585607382883,0.5740551130327547,174.95791097328402,59.77494348951594,235.5823199414829,0.009003656068981236,0.900740595996192,0.4974513471470117,0.056362771700843,74.0,41785.22978068292,859.0,270.0539826515842,0.36640183486810496,392837.22858903225,0.17506711164143138,85.12822646557059,0.5676117692002755,0.07934274773641975,0.0793544991348192,0.00816797561000211,0.0008359328147875776,0.0024419481019880168,0.23330570060954522,0.5649841526867739,0.12017297612862943,0.22534421076830707,116.29174767854735,381.2936212898281,0.004568288857906682,0.2124305594929172
174.0,6.0,29.0,7.0,353.0,1736.0,332.0,322.0,4.0,233.0,760.0,36.814298417306006,1103.0,205.0,7.12317298340396,1728.0,130.0,28.68390560681197,215.0,824.0,199324.0,42.91983310267169,0.0,51.736337222258285,51.71180082909127,84.79404606145545,67140.89085030548,0.7830938728145013,3136.310717263249,19.732808330157667,279.0,840.0,196171.0,38.49480075328989,3.0,26.838821233629616,62.33710714804146,79.5507735484766,83520.85223549539,0.37466734665265483,3409.444301131245,46.99609850511852,15.0,26.0,420.0,57.435701314471075,6.0,33.70173229446632,25.81501179934471,80.6521416411003,241.2814501738663,0.5791432004968932,142.16466195149192,69.03590513348895,0.9667445917909807,0.3149332634276225,0.4356791685794881,0.707149363643731,0.5929161645338259,28.0,37237.00113839676,287.0,381.70338236512794,0.3900165199136381,102055.3391804121,0.14887408790463302,47.172088509401355,0.36194182152387877,0.4408655074512021,0.2825062383042205,0.21909165311020137,0.0013260745977737049,0.0019036512319237234,0.14320313182340666,0.6200181727741517,0.11085242042612344,0.009335314829099928,116.76508112164247,114.47872223080665,0.03462439273846941,0.18810341848551543
133.0,1.0,310.0,7.0,241.0,1676.0,612.0,103.0,7.0,2392.0,609.0,21.269087595608976,1273.0,609.0,15.261556881915746,559.0,615.0,39.77269437577543,272.0,382.0,130248.0,61.1277151770463,5.0,44.60205155965999,34.9212120996756,77.84820499604581,91586.97076652729,0.39571733057973574,4547.809003091179,5.60217665529319,333.0,656.0,196168.0,37.73597417220819,3.0,28.518786558678386,55.305836252778064,26.546386358279044,64892.88628999816,0.37429426487336565,1789.7733773159173,29.502799153300995,1.0,59.0,23.0,30.428174598831603,9.0,66.8915569970328,27.66086066317041,1.0616458506879294,15.612627873808949,0.8994346953737026,143.12394739587245,61.335363247464834,3.583567089864434,0.5619188151301722,0.43159749901106553,0.7396864431647046,0.593311606298819,56.0,36718.37083575378,371.0,891.2192471881103,0.38925279328839046,396892.12589869,0.2925984903941524,45.33548123075508,0.5861739703883647,2.110412770870805e-05,0.0692717001759714,0.049893872854948514,0.00130493858847641,0.0025309818905977074,0.12705051541225842,0.5813252631395426,0.07034601140429803,0.13581133285690303,126.22254193835221,40.38022179540183,0.09007024131146933,0.19185757476206652
110.0,1.0,13.0,7.0,67.0,324.0,1089.0,80.0,7.0,133.0,111.0,5.995355233873772,1487.0,587.0,19.242129896078513,1256.0,711.0,45.07158567413007,216.0,832.0,189515.0,6.170784862042236,0.0,40.63429006630329,41.48910276957666,93.93295156095753,96670.29618208791,0.3880498064211738,3196.03749799816,19.07764577759898,144.0,81.0,199707.0,34.1193786150894,4.0,70.91805662824753,55.42142506312979,75.6460307658627,92480.66896195678,0.35931086162340276,3930.0016462880417,47.80537720010642,1.0,73.0,571.0,31.770400859175925,4.0,34.88614675308044,20.938694072107317,29.370889832150734,263.74353803478203,0.5780542557818827,54.663165246125565,25.045046422059638,245.79211229641157,0.8838582633994949,0.44126617115578637,0.7194264106872859,0.5137510990684448,245.0,2017.4537365468423,18.0,559.2671504249068,0.3946365393160279,84986.49083457407,0.32708617288858133,562.1017944659284,0.09179513842041867,0.4341022799531406,0.27549509895873314,0.016320776592192613,0.0009718035005966511,0.0018529298546455762,0.2283937178928305,0.2456065085147423,0.13156337314949318,0.36058604963511837,29.58152431162429,171.6769122448557,0.046729222253215914,0.34566713344497374
174.0,4.0,142.0,7.0,272.0,2744.0,1224.0,137.0,7.0,1548.0,78.0,6.9563495765351595,1113.0,574.0,2.784064552171749,970.0,657.0,10.220541647180706,336.0,789.0,188851.0,42.03690126820665,0.0,12.034880016653947,35.31153213981897,66.61559583163985,94328.90415678205,0.36108556928568714,4770.5881968844915,17.518770971430758,414.0,330.0,261748.0,33.30612400604834,9.0,27.206337996569445,52.84158462365339,75.94572810094186,38265.36231979075,0.37421637706584976,3340.5637929249156,2.4791647188075254,10.0,89.0,79.0,80.63451873288655,4.0,3.819925630236418,26.4806289125009,28.189787390557058,270.3877003524716,0.8823131449712694,19.45470979900488,68.93152954733058,129.20661819118135,0.8524441754954842,0.5660912078017968,0.9349475593901518,0.05402991446438824,60.0,38280.167177902724,619.0,860.5300966118214,0.36362771186846465,29272.892650431757,0.3241404188981722,363.6005783589584,0.3534872046453115,0.20541109688953688,0.2794555268653751,0.3296353270678692,0.001076337977764061,0.002410523576006126,0.030554597073666312,0.24112168020052133,0.021737139023137862,0.11961799094400295,22.700351661548268,611.4515597538117,0.06280970689323948,0.2794567751005372
114.0,1.0,259.0,7.0,352.0,282.0,982.0,196.0,7.0,60.0,57.0,6.192987612283343,1178.0,75.0,15.448529287104138,466.0,626.0,17.347713776362877,324.0,333.0,41610.0,43.29701813599264,1.0,50.02632990640246,43.90296028461438,91.2641936744381,61748.85809514247,0.26825604152346316,37.26518434908236,27.243120436779982,235.0,846.0,58349.0,9.213636409808418,4.0,3.3319397408895304,51.98589656650696,77.97259753897967,88238.88539865856,0.6480642015454701,3234.0752973670033,2.969967484787479,16.0,76.0,444.0,3.5591398443983344,9.0,32.339227275665685,33.789602256238005,3.714136191054732,15.897602419424611,0.5758601069679598,84.5682662332328,23.65932538862865,149.28155143053846,0.7476178452229268,0.7349276951767633,0.7120831620000737,0.0635754965070776,415.0,2712.1879432917103,1039.0,839.8963821393703,0.38482954816650433,279420.534919697,0.25118711230431945,88.07985220567237,0.6413533664361072,0.43634087010266503,0.04406169873618479,0.0011989256003385109,0.0007704010006457048,0.0023632663280239376,0.04721032536985325,0.1653898567239241,0.12198344536515489,0.2403129145579619,191.49735415038313,44.74891360590775,0.10063140973691072,0.1990838809205882
250.0,4.0,8.0,7.0,284.0,2765.0,675.0,62.0,5.0,1261.0,23.0,4.044621094446017,1257.0,85.0,22.447760161594942,591.0,389.0,43.84764198980061,106.0,828.0,228959.0,4.882162649548749,0.0,14.143427359979263,41.34549007288026,94.90205187962111,70321.53670510309,0.8073061562354212,3034.880937905345,18.805229794097684,12.0,870.0,261645.0,88.30174902029117,12.0,2.7058405533719125,34.22077734503678,27.880520394535036,75402.01939070111,0.7140879655606631,3250.364807230049,46.78190184771379,14.0,69.0,96.0,35.470649163458724,5.0,15.3112264865113,26.70310119982312,38.788291766217625,249.2660508980138,0.8854162771736598,177.31167507951943,9.267654058325775,271.86042835302857,0.7172038087695555,0.4490771859061113,0.5112621836054679,0.03324595573144608,96.0,35084.432936350626,361.0,266.12025693212337,0.36982383817274633,30432.93921825984,0.18814427313610674,338.05699142115856,0.5617733152557932,0.07529225320007799,0.3783337733440197,0.011460936370414163,0.000965736064771286,0.0024627085462905715,0.14619481813308,0.5506772483694817,0.12116212998155595,0.24050957976441575,7.004973626119195,461.3741492369694,0.020267751390112013,0.1845716401459576
252.0,1.0,200.0,7.0,325.0,1700.0,369.0,63.0,7.0,765.0,575.0,68.04437540756955,1171.0,567.0,16.509944365181994,583.0,138.0,15.947552421119111,89.0,319.0,259021.0,8.751256542982764,1.0,50.27614223279579,42.812914605659856,82.77536122902659,1113.7659824298037,0.39616035821033707,509.6499588582013,27.332244500890965,237.0,856.0,26473.0,88.97082426601857,12.0,27.442272443446658,67.09515321980734,93.66703207145297,92052.88797962715,0.6047333591789569,3322.896523430429,27.140322820837877,15.0,61.0,435.0,55.99292909342129,4.0,7.37734176422642,26.54332797609445,81.91760150749064,264.565781229235,0.3375165626131567,43.857934650508284,23.2684359849242,15.658731234834605,0.71319927837697,0.4101970364060277,0.6460817435906473,0.04701603108775809,83.0,43259.719151080986,1013.0,838.4896120080331,0.37338792724542796,21713.26868460718,0.24877842023608202,403.8257825877859,0.5727904885013039,0.08770632652752519,0.18174145355409962,0.005349477352254263,0.0009946309143270572,0.002378787592010668,0.06908207403107176,0.2618356240110264,0.04342591436241206,0.3639447920826324,114.5502569738997,540.4626803224799,0.01433770084988107,0.139099874559023
111.0,1.0,9.0,7.0,321.0,2763.0,367.0,106.0,7.0,3121.0,78.0,4.802361220909494,1099.0,180.0,15.854773310415172,1148.0,672.0,43.37924212121105,295.0,337.0,257660.0,11.402409901429507,0.0,15.10513156654074,49.005503957908516,25.54635878651975,63116.708187946584,0.7683747658491156,921.1044209281879,3.4761073891170042,316.0,59.0,16723.0,7.029137736033297,12.0,35.52131418500972,60.03842845665459,27.521456947989204,50462.816900355916,0.7471438552441854,2743.0227024495716,27.90470802500479,20.0,78.0,434.0,56.90218452562592,6.0,86.60881915014555,32.82654690940526,63.52993952317358,141.5552244147579,0.566405121817383,52.30954708444179,2.6128904066809127,262.92714598447577,0.5995702195502611,0.7457923559048822,0.6362540626182261,0.04338548703283481,350.0,51349.74649750589,854.0,346.8407445786042,0.34510139403073914,95524.30169872566,0.18239929028066945,89.21670359337492,0.29643389862489716,0.4907900424716694,0.03490308173812162,0.0011083745341041761,0.0007883927267035202,0.0018973639120687578,0.04482580693617934,0.16400661563090266,0.05227014400232956,0.044276650475784905,120.56092624821667,40.44388696659012,0.017903319517944192,0.18621949966841223
